Fare amount;Wind Direction;Humidity;Wind Speed;Temperature;Pressure
12;244;80;3;267;1033
9;330;93;5;289;1021
7;160;88;3;294;1007
24;319;88;3;295;977
32;50;74;1;271;1026
9;301;98;2;288;1014
10;170;88;3;293;1006
14;293;26;2;277;1021
25;80;94;1;301;1012
6;317;42;3;291;1018
17;170;46;3;293;1017
42;0;87;0;281;1024
4;300;43;4;272;1028
9;30;86;2;270;1014
8;0;38;1;296;1022
5;60;81;2;278;1023
8;173;80;2;291;1011
30;240;67;3;266;1026
6;244;92;3;273;1019
7;310;22;10;279;1022
7;25;93;3;280;1019
14;170;40;5;293;1003
9;352;68;1;297;1014
13;342;56;1;296;1014
8;260;47;4;297;1013
9;270;24;0;280;1021
8;215;75;3;271;1029
15;299;74;5;283;1015
5;240;74;1;273;1016
23;306;83;3;292;1027
16;360;60;3;274;1021
4;180;76;5;288;1022
18;310;44;6;276;1018
21;240;54;1;271;1007
11;320;48;3;279;1021
6;190;60;3;277;1015
13;276;50;0;304;1011
6;180;29;4;288;1027
15;310;53;3;280;1017
15;350;87;6;284;1007
8;20;44;5;298;1023
6;350;76;4;284;1007
19;150;44;4;290;1029
12;214;56;1;302;998
17;60;45;3;280;1030
41;340;100;2;277;1008
8;195;76;2;272;1041
22;220;52;1;290;1018
8;280;93;1;274;1013
9;235;66;3;278;1030
7;30;93;5;275;1023
12;247;93;1;277;1013
7;51;100;5;289;1010
7;310;29;3;298;1018
5;330;29;3;278;1017
20;40;82;2;285;1020
11;244;38;3;280;978
10;310;52;8;278;1008
6;340;14;6;286;1014
42;270;34;8;284;1015
13;216;81;4;289;1022
9;94;91;2;273;1026
10;289;87;1;269;1024
7;184;89;1;290;1008
5;24;69;1;267;1011
5;340;32;3;301;1019
6;210;52;2;292;1015
6;300;57;1;283;1013
4;244;65;3;270;1028
9;230;50;4;283;1015
12;340;28;7;272;1031
8;150;51;4;300;1022
21;50;93;2;281;1021
11;168;74;1;290;1013
14;90;93;4;280;1020
15;191;79;3;288;1028
11;340;93;4;275;1008
11;320;54;6;285;1003
8;318;96;3;268;1035
9;40;44;2;295;1023
5;140;83;6;296;1014
9;227;72;1;273;1037
11;160;83;3;295;1018
15;120;48;4;278;1037
14;220;66;2;282;1018
16;50;93;9;279;1002
49;263;66;2;268;1022
9;340;62;1;300;1008
5;160;87;2;280;1019
12;218;74;1;296;1019
11;30;55;4;274;1039
4;290;57;7;265;1029
12;320;45;3;270;1033
6;310;59;4;273;1008
6;87;87;1;281;1014
18;160;78;5;294;1012
16;124;56;1;299;1018
31;231;50;3;300;997
8;300;53;6;282;1021
7;220;80;2;276;1024
7;306;40;4;264;1011
6;250;51;4;274;1015
4;59;89;1;287;1011
11;278;33;2;286;1006
17;260;47;4;276;1018
5;50;81;3;278;1012
18;190;53;3;295;1015
10;176;38;3;287;1039
5;244;80;3;284;1022
8;240;77;1;300;985
10;270;29;2;282;1023
8;330;26;7;287;1007
5;260;39;5;297;1017
7;360;74;8;276;1016
6;210;44;2;275;1011
17;340;86;8;276;993
29;150;47;3;297;1016
7;330;67;5;266;1024
10;180;93;2;286;1002
7;280;37;7;282;1014
11;316;60;2;289;980
6;166;64;2;302;1016
10;260;82;6;288;1008
7;30;77;5;290;1021
20;80;69;7;276;1013
16;190;68;4;288;1006
6;7;56;3;296;1023
12;317;79;2;286;1010
8;210;69;3;273;1018
12;260;61;3;283;1000
8;250;62;4;301;1011
3;126;96;2;275;1013
8;91;73;1;274;1031
10;130;58;4;299;1022
14;208;76;3;299;1023
5;355;46;3;261;1016
17;268;51;5;289;1012
5;221;79;0;297;1018
7;320;63;8;270;1008
15;30;56;3;280;1029
18;76;100;2;274;1011
13;195;98;1;288;1013
8;203;90;1;291;1024
11;165;58;2;291;986
10;350;59;2;272;1022
14;154;31;0;295;1026
28;278;63;1;296;1026
52;36;61;3;287;1030
21;285;77;3;295;1020
6;196;73;3;298;1012
10;197;93;1;286;1013
16;220;94;4;296;1015
7;313;52;8;276;1020
10;310;42;11;281;1018
41;208;76;3;301;1015
15;23;75;4;277;1013
7;50;47;7;286;1031
8;260;94;2;290;982
7;253;45;4;302;1020
27;179;85;3;277;1038
15;190;50;6;297;1015
9;260;43;6;293;1014
12;80;55;3;276;1031
12;162;35;2;297;1019
5;206;94;2;289;1020
8;244;80;3;284;1022
5;245;58;4;289;1020
7;230;73;1;294;1020
10;120;97;0;292;1022
10;177;89;3;297;1029
11;113;76;2;301;1004
15;90;70;9;280;1016
18;140;73;5;297;1015
16;320;48;3;279;1021
5;176;80;3;277;1038
5;251;50;3;280;1021
11;227;66;2;293;1014
17;263;89;3;277;1000
8;180;72;8;290;1023
17;270;51;2;262;1031
3;310;44;9;277;1008
47;360;54;4;288;1015
43;206;94;2;290;1022
13;10;47;4;295;1017
9;220;33;5;279;1019
124;314;62;1;307;1019
10;143;47;1;294;1019
6;240;31;4;282;1021
16;288;98;1;279;1018
40;290;51;4;275;1015
57;10;59;3;276;1025
5;0;76;0;285;1015
32;123;94;5;284;1031
5;50;43;2;306;1021
12;244;82;3;284;978
13;307;65;7;273;1009
23;204;40;4;293;1022
33;244;86;3;275;966
19;350;100;10;273;1010
9;182;97;9;285;1016
31;190;83;8;294;1011
10;290;70;3;277;1027
8;200;85;3;297;1006
47;302;95;1;290;983
7;346;37;3;290;1008
10;50;88;3;295;1018
14;190;56;3;277;1014
57;319;52;0;303;1014
9;321;64;2;294;1012
17;244;88;3;267;989
26;270;26;10;286;1009
21;360;71;2;282;1022
35;202;90;2;270;1013
9;270;59;2;274;1013
19;180;100;2;283;1008
13;134;97;2;288;1016
7;291;52;1;288;1013
